Que,10.99,11.33
mais,11.33,11.61
tem,11.61,11.83
de,11.83,12.11
acontecer,12.11,12.61
no,12.61,13.23
mundo,13.23,13.95
Para,16.33,16.47
inverter,16.47,16.83
o,16.83,17.15
teu,17.15,17.35
coração,17.35,17.71
para,17.71,18.17
mim,18.17,18.51
Que,21.19,21.27
quantidade,21.27,21.79
de,21.79,22.15
lágrimas,22.15,22.67
devo,22.67,22.99
deixar,22.99,23.27
cair,23.27,23.97
Que,24.67,24.75
flor,24.75,25.13
tem,25.13,25.37
que,25.37,25.61
nascer,25.61,26.17
Para,26.87,26.99
ganhar,26.99,27.25
o,27.25,27.43
teu,27.43,27.71
amor,27.71,28.03
Por,31.19,31.27
esse,31.27,31.67
"amor,",31.67,31.97
meu,32.19,32.41
"Deus,",32.41,32.71
eu,32.79,32.99
faço,32.99,33.53
tudo,33.53,34.21
Te,36.07,36.11
clamo,36.11,36.61
os,36.61,36.77
poemas,36.77,37.35
mais,37.35,37.71
lindos,37.71,38.47
do,38.47,38.59
universo,38.59,39.01
A,41.08,41.14
ver,41.14,41.52
se,41.52,42.12
te,42.12,42.32
convenço,42.32,43.44
Que,43.58,44.5
a,44.5,44.62
minha,44.62,44.84
alma,44.84,45.26
nasceu,45.26,47.24
para,47.24,47.8
ti,47.8,48.3
Será,50.85,51.19
preciso,51.19,51.85
um,51.85,52.13
milagre,52.13,53.19
Para,55.81,55.99
que,55.99,56.15
o,56.15,56.29
meu,56.29,56.45
coração,56.45,56.87
se,56.87,57.71
alegre,57.71,58.57
Juro,60.84,61.22
não,61.22,61.4
vou,61.4,61.78
desistir,61.78,62.64
Faça,63.3,63.72
chuva,63.72,64.38
ou,64.38,64.46
faça,64.46,64.86
sol,64.86,65.24
Porque,65.94,66.08
eu,66.08,66.2
preciso,66.2,66.66
de,66.66,66.98
ti,66.98,67.34
para,67.34,67.7
seguir,67.7,68.2
Quem,69.42,69.64
me,69.64,70.16
dera,70.16,70.82
Abraçar-te,72.0,72.84
no,72.84,72.94
"outono,",72.94,73.64
verão,73.64,74.46
e,74.46,74.58
primavera,74.58,75.92
Quisse,76.8,77.44
a,77.44,77.74
viver,77.74,78.12
além,78.12,78.78
uma,78.78,79.28
quimera,79.28,79.98
Herdar,81.9,82.3
a,82.3,82.46
sorte,82.46,82.96
e,82.96,83.2
ganhar,83.2,83.54
teu,83.54,84.02
coração,84.02,84.7
Quem,84.7,85.94
me,88.88,89.82
dera,89.82,90.74
Abraçar-te,91.76,92.52
no,92.52,92.62
"outono,",92.62,93.32
verão,93.32,94.04
e,94.04,94.12
primavera,94.12,95.16
Quisse,96.73,96.97
a,96.97,97.21
viver,97.21,97.53
