start	end	text
10990	11330	Que
11330	11610	mais
11610	11830	tem
11830	12110	de
12110	12610	acontecer
12610	13230	no
13230	13950	mundo
16330	16470	Para
16470	16830	inverter
16830	17150	o
17150	17350	teu
17350	17710	coração
17710	18170	para
18170	18510	mim
21190	21270	Que
21270	21790	quantidade
21790	22150	de
22150	22670	lágrimas
22670	22990	devo
22990	23270	deixar
23270	23970	cair
24670	24750	Que
24750	25130	flor
25130	25370	tem
25370	25610	que
25610	26170	nascer
26870	26990	Para
26990	27250	ganhar
27250	27430	o
27430	27710	teu
27710	28030	amor
31190	31270	Por
31270	31670	esse
31670	31970	amor,
32190	32410	meu
32410	32710	Deus,
32790	32990	eu
32990	33530	faço
33530	34210	tudo
36070	36110	Te
36110	36610	clamo
36610	36770	os
36770	37350	poemas
37350	37710	mais
37710	38470	lindos
38470	38590	do
38590	39010	universo
41080	41140	A
41140	41520	ver
41520	42120	se
42120	42320	te
42320	43440	convenço
43580	44500	Que
44500	44620	a
44620	44840	minha
44840	45260	alma
45260	47240	nasceu
47240	47800	para
47800	48300	ti
50850	51190	Será
51190	51850	preciso
51850	52130	um
52130	53190	milagre
55810	55990	Para
55990	56150	que
56150	56290	o
56290	56450	meu
56450	56870	coração
56870	57710	se
57710	58570	alegre
60840	61220	Juro
61220	61400	não
61400	61780	vou
61780	62640	desistir
63300	63720	Faça
63720	64380	chuva
64380	64460	ou
64460	64860	faça
64860	65240	sol
65940	66080	Porque
66080	66200	eu
66200	66660	preciso
66660	66980	de
66980	67340	ti
67340	67700	para
67700	68200	seguir
69420	69640	Quem
69640	70160	me
70160	70820	dera
72000	72840	Abraçar-te
72840	72940	no
72940	73640	outono,
73640	74460	verão
74460	74580	e
74580	75920	primavera
76800	77440	Quisse
77440	77740	a
77740	78120	viver
78120	78780	além
78780	79280	uma
79280	79980	quimera
81900	82300	Herdar
82300	82460	a
82460	82960	sorte
82960	83200	e
83200	83540	ganhar
83540	84020	teu
84020	84700	coração
84700	85940	Quem
88880	89820	me
89820	90740	dera
91760	92520	Abraçar-te
92520	92620	no
92620	93320	outono,
93320	94040	verão
94040	94120	e
94120	95160	primavera
96730	96970	Quisse
96970	97210	a
97210	97530	viver
97530	97970	além
97970	98610	uma
98610	99470	quimera
101690	102110	Herdar
102110	102250	a
102250	102750	sorte
102750	102970	e
102970	103350	ganhar
103350	103970	teu
103970	104810	coração
110340	110520	Será
110520	111300	preciso
111300	111620	uma
111620	112760	tempestade
115200	115260	Para
115260	115440	que
115440	115460	o
115460	115480	meu
115480	115500	coração
115500	115520	se
115520	115540	alegre
115540	115560	Para
115560	116180	perceberes
116180	116240	que
116240	116340	o
116340	116540	meu
116540	116800	amor
116800	116980	é
116980	117100	de
117100	117520	verdade
120050	120210	Te
120210	120770	procuro
120770	120910	nos
120910	121210	altos
121210	121530	dós
121530	121650	da
121650	122070	cidade
122830	122950	Nas
122950	123570	luzes
123570	123730	dos
123730	124510	faróis
125290	125430	Nos
125430	125930	meros
125930	126610	mortais
126610	127270	como
127270	127630	nós
129450	129750	O
129750	130270	meu
130270	130950	amor
130950	131310	é
131310	132130	puro
134740	134880	É
134880	135080	tão
135080	135460	grande
135460	135580	e
135580	136400	resistente
136400	136840	como
136840	136940	um
136940	138000	emboadeiro
138080	138620	Por
138620	139120	ti
139570	140120	eu
140120	140400	vou
140400	140840	onde
140840	141280	nunca
141280	142440	iria
143640	143800	Por
143800	144560	ti
144560	144760	eu
144760	145320	sou
145320	145480	o
145480	145700	que
145700	146120	nunca
146120	146960	seria
148200	148320	Quem
148320	149140	me
149140	150220	dera
151220	151840	Abraçar-te
151840	151960	no
151960	152720	outono,
152720	153520	verão
153520	153620	e
