"Nossa, nossa, assim você me mata",1.08,5.04
"Ai, se eu te pego, ai, ai, se eu te pego, ai",6.14,10.35
"Delícia, delícia, assim você me mata",10.35,15.0
"Ai, se eu te pego, ai, ai, se eu te pego, hein",16.08,20.47
Um sábado na balada,20.47,33.78
A galera começou a dançar,34.26,38.62
E passou a menina mais linda,41.22,43.92
Tomei coragem e comecei a falar,45.56,48.2
"Nossa, nossa, assim você me mata",50.92,54.94
"Ai, se eu te pego, ai, ai, se eu te pego",56.1,60.26
"Delícia, delícia, assim você me mata",60.26,64.28
"Ai, se eu te pego, ai, ai, se eu te pego, hein",64.28,70.58
Um sábado na balada,70.58,83.84
A galera começou a dançar,86.18,88.64
E passou a menina mais linda,91.16,93.94
Tomei coragem e comecei a falar,95.58,98.1
"Nossa, nossa, assim você me mata",98.14,103.18
"Ai, se eu te pego, ai, ai, se eu te pego, ai",103.18,110.39
"Delícia, delícia, assim você me mata",110.39,115.0
"Ai, se eu te pego, ai, ai, se eu te pego, hein",115.2,120.5
Eu quero ouvir só vocês agora,128.67,129.91
"Nossa, ai, se eu te pego",130.89,137.68
"Delícia, delícia, assim você me mata",140.11,144.86
"Ai, se eu te pego, ai, ai, se eu te pego, hein",145.1,150.48
"Que delícia, hein",157.55,158.51
"Ai, se eu te pego",159.37,160.55
