start	end	text
33660	33980	Hey
33980	34560	you,
35850	36520	out
36520	36860	there
36860	37060	in
37060	37180	the
37180	37680	cold,
37920	38160	getting
38160	38680	lonely,
39100	39160	getting
39160	39760	old,
39980	40220	can
40220	40420	you
40420	40840	feel
40840	41320	me?
44230	44650	Hey
44650	45230	you,
46750	47310	standing
47310	47610	in
47610	47750	the
47750	48490	aisles
48490	48670	with
48670	48910	itchy
48910	49350	feet
49350	49530	and
49530	50030	fainting
50030	50530	smiles,
50830	50990	can
50990	51210	you
51210	51610	feel
51610	52110	me?
56100	56380	Hey
56380	56840	you,
57400	57760	don't
57760	58000	help
58000	58340	them
58340	58660	to
58660	59200	bury
59200	59740	the
59740	60540	line,
66430	67070	don't
67070	67250	give
67250	67670	in
68970	69920	without
69920	70440	a
70440	70880	fight
78540	78880	Hey
78880	79420	you,
81220	81480	out
81480	81800	there
81800	82000	on
82000	82180	your
82180	82620	own,
82900	83100	sitting
83100	83620	naked
83620	83920	by
83920	84120	the
84120	84660	phone,
84980	85140	would
85140	85340	you
85340	85740	touch
85740	86200	me?
89200	89580	Hey
89580	90100	you,
91400	91580	with
91580	91760	your
91760	92040	ear
92040	92380	against
92380	92660	the
92660	93180	wall,
93660	93740	waiting
93740	94100	for
94100	94620	someone
94620	94900	to
94900	95260	call
95260	95560	out,
95720	95840	would
95840	96040	you
96040	96440	touch
96440	96940	me?
102090	102290	Would
102290	102590	you
102590	102890	help
102890	103210	me
103210	103550	to
103550	104190	carry
104190	104650	the
104650	105290	stuff?
111310	111700	Open
111700	112120	your
112120	112660	heart,
114300	114740	I'm
114740	115180	coming
115180	115700	home
175750	175890	But
175890	176070	it
176070	176350	was
176350	177030	only
177030	178410	fantasy,
182530	182750	the
182750	183030	wall
183030	183410	was
183410	183730	too
183730	184350	high
184350	184890	as
184890	185190	you
185190	185670	can
185670	186390	see
189980	190260	No
190260	190600	matter
190600	191040	how
191040	191280	he
191280	191700	tried,
191960	192120	he
192120	192340	could
192340	192680	not
192680	193160	break
193160	193760	free,
197500	197660	and
197660	197820	the
197820	198300	worm
198300	198860	sat
198860	199300	into
199300	199800	his
199800	200360	brain
