start	end	text
18780	25400	When you were a fool, couldn't look you in the eye
28920	35650	You're just like an angel, your skin makes me cry
39050	46220	You float like a feather in a beautiful world
49620	56690	I wish I was special, you're so fucking special
59990	67170	But I'm a creep, I'm a little
70040	78030	What the hell am I to hear? I don't belong here
80940	82600	I don't care if it hurts
86150	93280	I wanna have control, I want a perfect body
96650	103920	I want a perfect soul, I want you to notice
107110	114450	What I'm not around, so fucking special
117410	119690	I wish I was special
122820	129980	But I'm a creep, I'm a little
132960	141070	What the hell am I to hear? I don't belong here
149850	161040	I don't belong here
185270	191810	I don't belong here
194930	197410	I don't belong here
200790	207400	I don't belong here
215940	223210	I don't belong here
226830	229090	I don't belong here
229090	229370	I don't belong here
