When,18.78,19.04
you,19.04,19.26
were,19.26,19.52
a,19.52,19.92
"fool,",19.92,20.24
couldn't,23.25,23.98
look,23.98,24.26
you,24.26,24.54
in,24.54,24.72
the,24.72,25.0
eye,25.0,25.4
You're,28.92,29.1
just,29.1,29.36
like,29.36,29.74
an,29.74,30.1
"angel,",30.1,31.08
your,33.95,34.15
skin,34.15,34.41
makes,34.41,34.83
me,34.83,35.11
cry,35.11,35.65
You,39.05,39.23
float,39.23,39.57
like,39.57,39.97
a,39.97,40.23
feather,40.23,41.15
in,41.15,42.74
a,44.38,44.52
beautiful,44.52,44.96
world,44.96,46.22
I,49.62,49.8
wish,49.8,50.08
I,50.08,50.4
was,50.4,50.56
"special,",50.56,51.52
you're,54.61,54.85
so,54.85,55.17
fucking,55.17,55.69
special,55.69,56.69
But,59.99,60.23
I'm,60.23,60.61
a,60.61,60.87
"creep,",60.87,61.47
I'm,65.35,65.85
a,65.85,66.09
little,66.09,67.17
What,70.04,70.28
the,70.28,70.5
hell,70.5,70.82
am,70.82,71.04
I,71.04,71.2
to,71.2,71.52
hear?,71.52,72.52
I,75.73,76.11
don't,76.11,76.51
belong,76.51,76.99
here,76.99,78.03
I,80.94,81.1
don't,81.1,81.46
care,81.46,81.7
if,81.7,81.96
it,81.96,82.12
hurts,82.12,82.6
I,86.15,86.31
wanna,86.31,86.53
have,86.53,86.87
"control,",86.87,87.67
I,91.46,91.58
want,91.58,91.76
a,91.76,91.88
perfect,91.88,92.34
body,92.34,93.28
I,96.65,96.81
want,96.81,96.99
a,96.99,97.11
perfect,97.11,97.55
"soul,",97.55,98.41
I,101.88,102.0
want,102.0,102.24
you,102.24,102.62
to,102.62,102.88
notice,102.88,103.92
What,107.11,107.33
I'm,107.33,107.69
not,107.69,107.97
"around,",107.97,108.63
so,112.29,112.73
fucking,112.73,113.29
special,113.29,114.45
I,117.41,117.69
wish,117.69,118.09
I,118.09,118.49
was,118.49,118.69
special,118.69,119.69
But,122.82,123.02
I'm,123.02,123.42
a,123.42,123.7
"creep,",123.7,124.26
I'm,128.26,128.74
a,128.74,129.1
little,129.1,129.98
What,132.96,133.28
the,133.28,133.54
hell,133.54,133.84
am,133.84,134.02
I,134.02,134.24
to,134.24,134.52
hear?,134.52,135.36
I,138.73,139.09
don't,139.09,139.57
belong,139.57,140.03
here,140.03,141.07
I,149.85,150.35
don't,150.35,150.65
belong,150.65,150.87
here,160.33,161.04
I,185.27,185.39
don't,185.39,185.91
belong,185.91,186.67
here,190.03,191.81
I,194.93,195.77
don't,195.77,195.79
belong,195.79,196.21
here,196.21,197.41
I,200.79,203.35
don't,206.0,206.46
belong,206.46,206.6
here,206.6,207.4
I,215.94,218.48
don't,221.81,222.33
belong,222.33,222.81
here,222.81,223.21
I,226.83,227.01
don't,227.01,227.59
belong,227.59,227.99
here,227.99,229.09
I,229.09,229.11
don't,229.11,229.33
belong,229.33,229.35
here,229.35,229.37
