I follow the Moscow down to Gonkipok listening to the wind of change,22.0,32.34
An august summer night soldiers passing by listening to the wind of change,36.31,46.85
"The world is closing in, did you ever think that we could be so close like brothers",71.07,81.81
"The futures in the air can feel it everywhere, blowing with the wind of change",85.39,96.05
"To the magic of the moment, an aglory night where the children of tomorrow be my wings in the wind of change",102.03,116.44
"Walking down the street, distant memories are buried in the past forever",126.65,136.51
I follow the Moscow down to Gonkipok listening to the wind of change,141.39,151.79
"To the magic of the moment, an aglory night where the children of tomorrow be my wings in the wind of change",157.98,171.79
The wind of change blows straight into the face of time like a storm wind that will ring the freedom bell for peace of mind,175.78,187.32
Lady of Alalaka sing what my guitar wants to sing,188.4,193.92
"To the magic of the moment, an aglory night where the children of tomorrow be my wings in the wind of change",227.71,241.6
