"I told you about living in the US of hate, don't you know that I'm a gangster of love?",17.78,24.2
"Let me tell you people that I found a new way, and I'm tired of all this talk about love.",25.85,32.63
"In the same old story, we were going to settle words about the good and the bad and the poor.",33.45,40.23
And the times keep on changing so I'm keeping on top of every fat gap who walks through my door.,41.47,48.53
"I'm a space cowboy, that you are ready for that.",49.47,56.39
"I'm a space cowboy, I'm sure you know where it's at, yeah, yeah, yeah, yeah.",57.63,66.51
I was born on this rock and I've been traveling through space since the moment I first realized,93.01,99.49
what all you fast-talking cats would do if you could. You know I'm ready for the final surprise.,100.71,107.33
"There ain't no way around it, ain't nothing to say that's gonna satisfy my soul deep inside.",108.71,115.39
"All the prayers and sobares keep the whole place uptight, love it keeps on getting darker outside.",116.51,123.21
"I'm a space cowboy, that you are ready for that.",124.43,131.33
"I'm a space cowboy, I'm sure you know where it's at, yeah, yeah, yeah, yeah.",132.33,141.15
"I've seen your showdown, slowdowns, lost and found, turn around, support and on military shirts.",224.03,230.71
I keep my eyes on the prize on the long-thoughtened skies and I don't let my friends get hurt.,231.83,238.57
"All you black-roofed schemers, power-tripped dreamers, better find something new to say.",239.63,246.19
"Cause you're the same old story, it's the same old crime, you've got some heavy dudes to pay.",247.39,254.19
"I'm a space cowboy, that you are ready for that.",255.27,262.01
"I'm a space cowboy, I'm sure you know where it's at, yeah, yeah, yeah, yeah.",263.17,271.97
