I,17.78,17.98
told,17.98,18.28
you,18.28,18.54
about,18.54,18.94
living,18.94,19.46
in,19.46,19.9
the,19.9,20.1
US,20.1,20.52
of,20.52,20.88
"hate,",20.88,21.22
don't,21.38,21.7
you,21.7,21.88
know,21.88,22.22
that,22.22,22.68
I'm,22.68,23.0
a,23.0,23.16
gangster,23.16,23.52
of,23.52,23.9
love?,23.9,24.2
Let,25.85,26.19
me,26.19,26.53
tell,26.53,26.89
you,26.89,27.13
people,27.13,27.53
that,27.53,27.95
I,27.95,28.15
found,28.15,28.43
a,28.43,28.69
new,28.69,28.89
"way,",28.89,29.21
and,29.45,29.73
I'm,29.73,29.95
tired,29.95,30.35
of,30.35,30.73
all,30.73,30.95
this,30.95,31.19
talk,31.19,31.43
about,31.43,31.81
love.,31.81,32.63
In,33.45,33.71
the,33.71,33.89
same,33.89,34.31
old,34.31,34.79
"story,",34.79,35.35
we,35.69,35.85
were,35.85,35.93
going,35.93,36.15
to,36.15,36.43
settle,36.43,36.79
words,36.79,37.29
about,37.29,37.81
the,37.81,38.15
good,38.15,38.43
and,38.43,38.73
the,38.73,38.91
bad,38.91,39.31
and,39.31,39.69
the,39.69,39.89
poor.,39.89,40.23
And,41.47,41.73
the,41.73,41.91
times,41.91,42.27
keep,42.27,42.65
on,42.65,42.91
changing,42.91,43.45
so,43.45,43.91
I'm,43.91,44.21
keeping,44.21,44.47
on,44.47,44.91
top,44.91,45.21
of,45.21,45.75
every,45.75,46.07
fat,46.07,46.41
gap,46.41,46.73
who,46.73,47.17
walks,47.17,47.43
through,47.43,47.69
my,47.69,47.91
door.,47.91,48.53
I'm,49.47,49.77
a,49.77,49.91
space,49.91,50.99
"cowboy,",50.99,52.67
that,53.87,54.37
you,54.37,54.81
are,54.81,55.17
ready,55.17,55.67
for,55.67,56.05
that.,56.05,56.39
I'm,57.63,57.91
a,57.91,58.09
space,58.09,59.03
"cowboy,",59.03,60.91
I'm,62.17,62.37
sure,62.37,62.77
you,62.77,63.33
know,63.33,63.65
where,63.65,64.01
it's,64.01,64.37
"at,",64.37,64.59
"yeah,",64.79,65.01
"yeah,",65.17,65.49
"yeah,",65.67,66.21
yeah.,66.23,66.51
I,93.01,93.25
was,93.25,93.47
born,93.47,93.95
on,93.95,94.27
this,94.27,94.51
rock,94.51,94.87
and,94.87,95.27
I've,95.27,95.57
been,95.57,95.71
traveling,95.71,96.09
through,96.09,96.43
space,96.43,96.71
since,96.71,97.19
the,97.19,97.43
moment,97.43,97.99
I,97.99,98.37
first,98.37,98.79
realized,98.79,99.49
what,100.71,101.09
all,101.09,101.37
you,101.37,101.53
fast-talking,101.53,102.31
cats,102.31,102.63
would,102.63,103.11
do,103.11,103.57
if,103.57,104.03
you,104.03,104.23
could.,104.23,104.55
You,104.67,105.01
know,105.01,105.23
I'm,105.23,105.51
ready,105.51,105.83
for,105.83,106.21
the,106.21,106.45
final,106.45,106.83
surprise.,106.83,107.33
There,108.71,108.93
ain't,108.93,109.15
no,109.15,109.51
way,109.51,109.95
around,109.95,110.45
"it,",110.45,110.93
ain't,111.15,111.25
nothing,111.25,111.75
to,111.75,112.07
say,112.07,112.37
that's,112.37,112.91
gonna,112.91,113.21
satisfy,113.21,113.93
my,113.93,114.29
soul,114.29,114.57
deep,114.57,114.85
inside.,114.85,115.39
All,116.51,116.81
the,116.81,117.03
prayers,117.03,117.37
and,117.37,117.75
sobares,117.75,118.47
keep,118.47,118.73
the,118.73,118.99
whole,118.99,119.31
place,119.31,119.71
"uptight,",119.71,120.25
love,120.53,120.79
it,120.79,120.97
keeps,120.97,121.31
on,121.31,121.71
getting,121.71,122.07
darker,122.07,122.53
outside.,122.53,123.21
I'm,124.43,124.69
a,124.69,124.83
space,124.83,125.77
"cowboy,",125.77,127.65
that,128.83,129.21
you,129.21,129.61
are,129.61,130.01
ready,130.01,130.47
for,130.47,130.87
that.,130.87,131.33
I'm,132.33,132.69
a,132.69,132.85
space,132.85,133.57
"cowboy,",133.57,135.69
I'm,136.85,137.09
sure,137.09,137.49
you,137.49,138.09
know,138.09,138.35
where,138.35,138.67
it's,138.67,139.05
"at,",139.05,139.27
"yeah,",139.37,139.67
"yeah,",139.79,140.27
"yeah,",140.43,140.83
yeah.,140.83,141.15
I've,224.03,224.35
seen,224.35,224.57
your,224.57,224.75
"showdown,",224.75,225.35
"slowdowns,",225.49,226.53
lost,226.53,226.85
and,226.85,227.23
"found,",227.23,227.57
turn,227.71,227.97
"around,",227.97,228.35
support,228.49,228.83
and,228.83,229.39
on,229.39,229.63
military,229.63,230.13
shirts.,230.13,230.71
I,231.83,232.05
keep,232.05,232.31
my,232.31,232.55
eyes,232.55,232.83
on,232.83,233.13
the,233.13,233.27
prize,233.27,233.69
on,233.69,234.07
the,234.07,234.27
long-thoughtened,234.27,235.25
skies,235.25,235.63
and,235.63,236.03
I,236.03,236.23
don't,236.23,236.69
let,236.69,236.91
my,236.91,237.13
friends,237.13,237.57
get,237.57,238.01
hurt.,238.01,238.57
All,239.63,239.87
you,239.87,240.07
black-roofed,240.07,241.03
"schemers,",241.03,241.89
power-tripped,242.09,242.95
"dreamers,",242.95,243.69
better,243.93,244.05
find,244.05,244.41
something,244.41,244.85
new,244.85,245.31
to,245.31,245.81
say.,245.81,246.19
Cause,247.39,247.61
you're,247.61,247.91
the,247.91,248.05
same,248.05,248.33
old,248.33,248.69
"story,",248.69,249.15
it's,249.45,249.65
the,249.65,249.77
same,249.77,250.17
old,250.17,250.63
"crime,",250.63,251.13
you've,251.43,251.81
got,251.81,252.05
some,252.05,252.47
heavy,252.47,252.85
dudes,252.85,253.35
to,253.35,253.69
pay.,253.69,254.19
I'm,255.27,255.53
a,255.53,255.67
space,255.67,256.65
"cowboy,",256.65,258.31
that,259.63,260.03
you,260.03,260.43
are,260.43,260.81
ready,260.81,261.31
for,261.31,261.69
that.,261.69,262.01
I'm,263.17,263.47
a,263.47,263.63
space,263.63,264.47
"cowboy,",264.47,266.37
I'm,267.57,267.79
sure,267.79,268.23
you,268.23,268.81
know,268.81,269.07
where,269.07,269.41
it's,269.41,269.75
"at,",269.75,270.01
"yeah,",270.27,270.43
"yeah,",270.51,270.87
"yeah,",271.11,271.53
yeah.,271.65,271.97
