start	end	text
17780	17980	I
17980	18280	told
18280	18540	you
18540	18940	about
18940	19460	living
19460	19900	in
19900	20100	the
20100	20520	US
20520	20880	of
20880	21220	hate,
21380	21700	don't
21700	21880	you
21880	22220	know
22220	22680	that
22680	23000	I'm
23000	23160	a
23160	23520	gangster
23520	23900	of
23900	24200	love?
25850	26190	Let
26190	26530	me
26530	26890	tell
26890	27130	you
27130	27530	people
27530	27950	that
27950	28150	I
28150	28430	found
28430	28690	a
28690	28890	new
28890	29210	way,
29450	29730	and
29730	29950	I'm
29950	30350	tired
30350	30730	of
30730	30950	all
30950	31190	this
31190	31430	talk
31430	31810	about
31810	32630	love.
33450	33710	In
33710	33890	the
33890	34310	same
34310	34790	old
34790	35350	story,
35690	35850	we
35850	35930	were
35930	36150	going
36150	36430	to
36430	36790	settle
36790	37290	words
37290	37810	about
37810	38150	the
38150	38430	good
38430	38730	and
38730	38910	the
38910	39310	bad
39310	39690	and
39690	39890	the
39890	40230	poor.
41470	41730	And
41730	41910	the
41910	42270	times
42270	42650	keep
42650	42910	on
42910	43450	changing
43450	43910	so
43910	44210	I'm
44210	44470	keeping
44470	44910	on
44910	45210	top
45210	45750	of
45750	46070	every
46070	46410	fat
46410	46730	gap
46730	47170	who
47170	47430	walks
47430	47690	through
47690	47910	my
47910	48530	door.
49470	49770	I'm
49770	49910	a
49910	50990	space
50990	52670	cowboy,
53870	54370	that
54370	54810	you
54810	55170	are
55170	55670	ready
55670	56050	for
56050	56390	that.
57630	57910	I'm
57910	58090	a
58090	59030	space
59030	60910	cowboy,
62170	62370	I'm
62370	62770	sure
62770	63330	you
63330	63650	know
63650	64010	where
64010	64370	it's
64370	64590	at,
64790	65010	yeah,
65170	65490	yeah,
65670	66210	yeah,
66230	66510	yeah.
93010	93250	I
93250	93470	was
93470	93950	born
93950	94270	on
94270	94510	this
94510	94870	rock
94870	95270	and
95270	95570	I've
95570	95710	been
95710	96090	traveling
96090	96430	through
96430	96710	space
96710	97190	since
97190	97430	the
97430	97990	moment
97990	98370	I
98370	98790	first
98790	99490	realized
100710	101090	what
101090	101370	all
101370	101530	you
101530	102310	fast-talking
102310	102630	cats
102630	103110	would
103110	103570	do
103570	104030	if
104030	104230	you
104230	104550	could.
104670	105010	You
105010	105230	know
105230	105510	I'm
105510	105830	ready
105830	106210	for
106210	106450	the
106450	106830	final
106830	107330	surprise.
108710	108930	There
108930	109150	ain't
109150	109510	no
109510	109950	way
109950	110450	around
110450	110930	it,
111150	111250	ain't
111250	111750	nothing
111750	112070	to
112070	112370	say
112370	112910	that's
112910	113210	gonna
113210	113930	satisfy
113930	114290	my
114290	114570	soul
114570	114850	deep
114850	115390	inside.
116510	116810	All
116810	117030	the
117030	117370	prayers
117370	117750	and
117750	118470	sobares
118470	118730	keep
118730	118990	the
118990	119310	whole
119310	119710	place
119710	120250	uptight,
120530	120790	love
120790	120970	it
120970	121310	keeps
121310	121710	on
121710	122070	getting
122070	122530	darker
122530	123210	outside.
124430	124690	I'm
124690	124830	a
124830	125770	space
125770	127650	cowboy,
128830	129210	that
129210	129610	you
129610	130010	are
130010	130470	ready
130470	130870	for
130870	131330	that.
132330	132690	I'm
132690	132850	a
132850	133570	space
133570	135690	cowboy,
136850	137090	I'm
137090	137490	sure
137490	138090	you
138090	138350	know
138350	138670	where
138670	139050	it's
139050	139270	at,
139370	139670	yeah,
139790	140270	yeah,
140430	140830	yeah,
140830	141150	yeah.
224030	224350	I've
224350	224570	seen
224570	224750	your
224750	225350	showdown,
225490	226530	slowdowns,
226530	226850	lost
226850	227230	and
227230	227570	found,
227710	227970	turn
227970	228350	around,
228490	228830	support
228830	229390	and
229390	229630	on
229630	230130	military
230130	230710	shirts.
231830	232050	I
232050	232310	keep
232310	232550	my
232550	232830	eyes
232830	233130	on
233130	233270	the
233270	233690	prize
233690	234070	on
234070	234270	the
234270	235250	long-thoughtened
235250	235630	skies
235630	236030	and
236030	236230	I
236230	236690	don't
236690	236910	let
236910	237130	my
237130	237570	friends
237570	238010	get
238010	238570	hurt.
239630	239870	All
239870	240070	you
240070	241030	black-roofed
241030	241890	schemers,
242090	242950	power-tripped
242950	243690	dreamers,
243930	244050	better
244050	244410	find
244410	244850	something
244850	245310	new
245310	245810	to
245810	246190	say.
247390	247610	Cause
247610	247910	you're
247910	248050	the
248050	248330	same
248330	248690	old
248690	249150	story,
249450	249650	it's
249650	249770	the
249770	250170	same
250170	250630	old
250630	251130	crime,
251430	251810	you've
251810	252050	got
252050	252470	some
252470	252850	heavy
252850	253350	dudes
253350	253690	to
253690	254190	pay.
255270	255530	I'm
255530	255670	a
255670	256650	space
256650	258310	cowboy,
259630	260030	that
260030	260430	you
260430	260810	are
260810	261310	ready
261310	261690	for
261690	262010	that.
263170	263470	I'm
263470	263630	a
263630	264470	space
264470	266370	cowboy,
267570	267790	I'm
267790	268230	sure
268230	268810	you
268810	269070	know
269070	269410	where
269410	269750	it's
269750	270010	at,
270270	270430	yeah,
270510	270870	yeah,
271110	271530	yeah,
271650	271970	yeah.
