start	end	text
3290	3530	All
3530	3910	right,
4050	4330	man.
4570	5030	So
5030	5190	how
5190	5310	we
5310	5530	doing
5530	5770	this?
6510	7110	So
7110	7410	I
7410	7710	know
7710	7850	you
7850	8030	don't
8030	8190	like
8190	8410	doing
8410	8630	this
8630	8850	that
8850	9350	often,
9670	9690	but
9690	9970	we've
9970	10070	been
10070	10350	practicing
10350	10570	a
10570	10730	lot.
10870	10950	I
10950	11070	think
11070	11190	we
11190	11290	can
11290	11390	do
11390	11510	it
11510	11670	live
11670	11830	in
11830	11970	one
11970	12130	take
13410	13930	live
14930	15270	one
15270	15550	take
16720	17620	Okay,
18140	18360	we've
18360	18440	been
18440	18800	practicing
18800	19160	like
19160	19320	a
19320	19520	lot.
19600	19800	So
19800	20020	yeah,
20080	20320	yeah,
20380	20460	we
20460	20560	can
20560	20660	do
20660	20840	it.
20900	21300	Yeah
21300	21460	one
21460	21640	day.
21760	22320	It's
22320	22400	all
22400	22500	it's
22500	22620	gonna
22620	22800	take
24180	24500	Just
24500	24740	once
91880	92700	Inside
92700	93400	baby,
93540	93920	I've
93920	94420	never
94420	94820	had
94820	95040	a
95040	95280	way
95280	95560	to
95560	95920	keep
95920	96180	it
96180	96540	all
96540	96800	in
96800	97120	pain
98020	98800	One
98800	99460	day
138640	138930	And
138930	139130	I
139130	139490	see
139490	139750	the
139750	140490	signs
140490	141030	I'll
141030	141270	keep
141270	141570	it
141570	141770	in
141770	142070	my
142070	142490	mind
143470	144090	Learn
144090	144350	to
144350	144990	thrive
144990	145430	and
145430	145810	come
145810	146310	alive
146990	147780	without
147780	148160	it
148160	148520	now
148520	149740	I'm
149740	149980	the
149980	150380	son
150380	150800	of
150800	151100	not
151100	151540	great
152840	153780	Until
153780	154460	I'm
154460	154920	straight
154920	155500	away
157130	158130	I'm
158130	158150	feeling
158250	160310	Flipped
160310	160730	at
161210	162270	Boys
164940	166450	Life
166450	167450	is
167830	169170	That's
169170	169510	what
211410	212170	Sweet
214480	215130	Flipped
215130	215710	at
