start	end	text
280	2480	Yn ymwneud, yw'r llwyddiadau.
2480	3520	Yn ymwneud, yw'r llwyddiadau.
3520	5300	Yn ymwneud, yw'r llwyddiadau.
5600	7440	Yn ymwneud, yw'r llwyddiadau.
7500	9720	Yn ymwneud, yw'r llwyddiadau.
9720	11620	Yn ymwneud, yw'r llwyddiadau.
11980	13950	Yn ymwneud, yw'r llwyddiadau.
13950	15480	Yn ymwneud, yw'r llwyddiadau.
15620	17740	Yn ymwneud, yw'r llwyddiadau.
17740	20500	Yn ymwneud, yw'r llwyddiadau.
20540	22460	Yn ymwneud, yw'r llwyddiadau.
50280	52480	Yn ymwneud, yw'r llwyddiadau.
80300	82480	Yn ymwneud, yw'r llwyddiadau.
110280	112340	Yn ymwneud, yw'r llwyddiadau.
140420	142480	Yn ymwneud, yw'r llwyddiadau.
170340	172480	Yn ymwneud, yw'r llwyddiadau.
200140	202480	Yn ymwneud, yw'r llwyddiadau.
230220	232480	Yn ymwneud, yw'r llwyddiadau.
260000	262460	Yn ymwneud, yw'r llwyddiadau.
290440	292480	Yn ymwneud, yw'r llwyddiadau.
