start	end	text
280	1180	Yn
1180	1280	ymwneud,
1280	1980	yw'r
1980	2480	llwyddiadau.
2480	2580	Yn
2580	3480	ymwneud,
3480	3500	yw'r
3500	3520	llwyddiadau.
3520	5020	Yn
5020	5040	ymwneud,
5260	5280	yw'r
5280	5300	llwyddiadau.
5600	6480	Yn
6480	7080	ymwneud,
7360	7380	yw'r
7380	7440	llwyddiadau.
7500	8900	Yn
8900	8940	ymwneud,
9380	9700	yw'r
9700	9720	llwyddiadau.
9720	10780	Yn
10780	11000	ymwneud,
11580	11600	yw'r
11600	11620	llwyddiadau.
11980	13280	Yn
13280	13360	ymwneud,
13360	13820	yw'r
13820	13950	llwyddiadau.
13950	14760	Yn
14760	15120	ymwneud,
15440	15460	yw'r
15460	15480	llwyddiadau.
15620	17220	Yn
17220	17380	ymwneud,
17380	17680	yw'r
17680	17740	llwyddiadau.
17740	19200	Yn
19200	19280	ymwneud,
19760	20480	yw'r
20480	20500	llwyddiadau.
20540	21180	Yn
21180	21260	ymwneud,
21260	22060	yw'r
22060	22460	llwyddiadau.
50280	51240	Yn
51240	51260	ymwneud,
51260	52200	yw'r
52200	52480	llwyddiadau.
80300	81100	Yn
81100	81300	ymwneud,
81300	82040	yw'r
82040	82480	llwyddiadau.
110280	111220	Yn
111220	111380	ymwneud,
111380	111700	yw'r
111700	112340	llwyddiadau.
140420	141100	Yn
141100	141380	ymwneud,
141380	142260	yw'r
142260	142480	llwyddiadau.
170340	171500	Yn
171500	171520	ymwneud,
171520	171800	yw'r
171800	172480	llwyddiadau.
200140	200460	Yn
200460	200880	ymwneud,
200980	202060	yw'r
202060	202480	llwyddiadau.
230220	231980	Yn
231980	232360	ymwneud,
232360	232380	yw'r
232380	232480	llwyddiadau.
260000	260600	Yn
260600	261180	ymwneud,
261360	261700	yw'r
261700	262460	llwyddiadau.
290440	291180	Yn
291180	291400	ymwneud,
291400	292080	yw'r
292080	292480	llwyddiadau.
