"Yn ymwneud, yw'r llwyddiadau.",0.28,2.48
"Yn ymwneud, yw'r llwyddiadau.",2.48,3.52
"Yn ymwneud, yw'r llwyddiadau.",3.52,5.3
"Yn ymwneud, yw'r llwyddiadau.",5.6,7.44
"Yn ymwneud, yw'r llwyddiadau.",7.5,9.72
"Yn ymwneud, yw'r llwyddiadau.",9.72,11.62
"Yn ymwneud, yw'r llwyddiadau.",11.98,13.95
"Yn ymwneud, yw'r llwyddiadau.",13.95,15.48
"Yn ymwneud, yw'r llwyddiadau.",15.62,17.74
"Yn ymwneud, yw'r llwyddiadau.",17.74,20.5
"Yn ymwneud, yw'r llwyddiadau.",20.54,22.46
"Yn ymwneud, yw'r llwyddiadau.",50.28,52.48
"Yn ymwneud, yw'r llwyddiadau.",80.3,82.48
"Yn ymwneud, yw'r llwyddiadau.",110.28,112.34
"Yn ymwneud, yw'r llwyddiadau.",140.42,142.48
"Yn ymwneud, yw'r llwyddiadau.",170.34,172.48
"Yn ymwneud, yw'r llwyddiadau.",200.14,202.48
"Yn ymwneud, yw'r llwyddiadau.",230.22,232.48
"Yn ymwneud, yw'r llwyddiadau.",260.0,262.46
"Yn ymwneud, yw'r llwyddiadau.",290.44,292.48
