start	end	text
47820	47900	Wipe
47900	48340	away
48340	48820	those
48820	49320	tears
49320	49860	child,
50300	50740	there's
50740	50960	no
50960	51400	need
51400	51640	to
51640	52000	cry
53160	53540	Stand
53540	53980	up
53980	54340	on
54340	54600	your
54600	55120	feet
55120	55660	now,
56140	56420	lift
56420	56780	your
56780	57220	head
57220	57640	up
57640	58060	high
58900	59140	Now
59140	59300	wait
59300	59600	till
59600	60160	tomorrow
60160	60560	to
60560	60720	lay
60720	60960	down
60960	61160	your
61160	61640	sorrow
61840	62280	Freedom
62280	62640	is
62640	62980	here
62980	63520	today
64760	65180	Wipe
65180	65680	away
65680	66180	those
66180	66680	tears
66680	67240	child,
68000	68120	and
68120	68340	put
68340	68740	down
68740	69060	your
69060	69580	shame
69940	70440	Oh,
70800	71400	I
71630	72440	see
72440	74220	L.M.T.
74540	74960	Gray
77220	77680	The
77680	78380	heavens
78380	79000	waking,
79780	80260	angels
80260	80740	in
80740	81980	jubilation
83100	83140	Bad
83180	84010	storms
84010	84790	beckoning,
89410	89430	the
89430	89930	darkness
89930	90550	breaking
91230	91510	I
91510	91890	bet
91890	92250	the
92250	92810	devil
92810	93510	shaking,
94010	94870	somebody
94870	96250	celebrate
96990	97250	I
97250	97670	see
97670	98950	L.M.T.
99290	99470	Gray
106730	107600	Wipe
111430	111910	away
111910	112430	those
112430	112970	tears
112970	113470	child,
113990	114350	there's
114350	114590	no
114590	115010	need
115010	115270	to
115270	115590	cry
116640	117140	Stand
117140	117600	up
117600	117940	on
117940	118220	your
118220	118720	feet
118720	119240	now,
119680	120000	lift
120000	120380	your
120380	120840	head
120840	121260	up
121260	121700	high
122520	122660	Now
122660	122960	wait
122960	123240	till
123240	123780	tomorrow
123780	124140	to
124140	124400	lay
124400	124600	down
124600	124800	your
124800	125120	sorrow
125360	125860	Freedom
125860	126260	is
126260	126600	here
126600	126920	today
128320	128820	Wipe
128820	129320	away
129320	129800	those
129800	130320	tears
130320	130880	child,
131640	131740	and
131740	131960	put
131960	132360	down
132360	132680	your
132680	133180	shame
133520	134140	Oh,
134460	135160	I
135160	136060	see
136060	137840	L.M.T.
138260	138660	Gray
140430	140770	I
140770	141130	hear
141130	141390	the
141390	142070	heavens
142070	142630	waking,
143250	143850	angels
143850	144350	in
144350	145270	jubilation
145730	146490	Bad
146490	147690	storms
147690	149110	beckoning,
152110	152330	the
152330	153510	darkness
153510	154130	breaking
154870	155150	I
155150	155490	bet
155490	155890	the
155890	156450	devil
156450	157110	shaking,
157750	158430	somebody
158430	159630	celebrate
160610	161130	I
161130	161650	see
161650	162490	L.M.T.
162710	162800	Gray
203600	204010	Wipe
204010	204530	away
204530	204970	those
204970	205510	tears
205510	206090	child,
206490	206810	go
206810	207210	and
207210	207530	tell
207530	207830	the
207830	208250	news
209100	209340	What
209340	209820	started
209820	210480	in
210480	210860	the
210860	211600	garden
211600	212360	was
212360	212780	finished
212780	213440	in
213440	213620	the
213620	213960	tomb
215100	215580	It's
215580	215720	all
215720	216200	reversed,
216620	216720	the
216720	217080	apple
217080	217700	occurs
217700	218260	three
218260	218640	days
218640	219140	in
219140	219380	the
219380	219920	ground
220900	221280	Christ
221280	221760	our
221760	222140	Lord
222140	222480	is
222480	223200	risen,
223760	224160	death
224160	224880	couldn't
224880	225160	hold
225160	225700	him
225700	226300	down
