"Wipe away those tears child, there's no need to cry",47.82,52.0
"Stand up on your feet now, lift your head up high",53.16,58.06
Now wait till tomorrow to lay down your sorrow,58.9,61.64
Freedom is here today,61.84,63.52
"Wipe away those tears child, and put down your shame",64.76,69.58
"Oh, I see L.M.T. Gray",69.94,74.96
"The heavens waking, angels in jubilation",77.22,81.98
"Bad storms beckoning, the darkness breaking",83.1,90.55
"I bet the devil shaking, somebody celebrate",91.23,96.25
I see L.M.T. Gray,96.99,99.47
"Wipe away those tears child, there's no need to cry",106.73,115.59
"Stand up on your feet now, lift your head up high",116.64,121.7
Now wait till tomorrow to lay down your sorrow,122.52,125.12
Freedom is here today,125.36,126.92
"Wipe away those tears child, and put down your shame",128.32,133.18
"Oh, I see L.M.T. Gray",133.52,138.66
"I hear the heavens waking, angels in jubilation",140.43,145.27
"Bad storms beckoning, the darkness breaking",145.73,154.13
"I bet the devil shaking, somebody celebrate",154.87,159.63
I see L.M.T. Gray,160.61,162.8
"Wipe away those tears child, go and tell the news",203.6,208.25
What started in the garden was finished in the tomb,209.1,213.96
"It's all reversed, the apple occurs three days in the ground",215.1,219.92
"Christ our Lord is risen, death couldn't hold him down",220.9,226.3
