Wipe,47.82,47.9
away,47.9,48.34
those,48.34,48.82
tears,48.82,49.32
"child,",49.32,49.86
there's,50.3,50.74
no,50.74,50.96
need,50.96,51.4
to,51.4,51.64
cry,51.64,52.0
Stand,53.16,53.54
up,53.54,53.98
on,53.98,54.34
your,54.34,54.6
feet,54.6,55.12
"now,",55.12,55.66
lift,56.14,56.42
your,56.42,56.78
head,56.78,57.22
up,57.22,57.64
high,57.64,58.06
Now,58.9,59.14
wait,59.14,59.3
till,59.3,59.6
tomorrow,59.6,60.16
to,60.16,60.56
lay,60.56,60.72
down,60.72,60.96
your,60.96,61.16
sorrow,61.16,61.64
Freedom,61.84,62.28
is,62.28,62.64
here,62.64,62.98
today,62.98,63.52
Wipe,64.76,65.18
away,65.18,65.68
those,65.68,66.18
tears,66.18,66.68
"child,",66.68,67.24
and,68.0,68.12
put,68.12,68.34
down,68.34,68.74
your,68.74,69.06
shame,69.06,69.58
"Oh,",69.94,70.44
I,70.8,71.4
see,71.63,72.44
L.M.T.,72.44,74.22
Gray,74.54,74.96
The,77.22,77.68
heavens,77.68,78.38
"waking,",78.38,79.0
angels,79.78,80.26
in,80.26,80.74
jubilation,80.74,81.98
Bad,83.1,83.14
storms,83.18,84.01
"beckoning,",84.01,84.79
the,89.41,89.43
darkness,89.43,89.93
breaking,89.93,90.55
I,91.23,91.51
bet,91.51,91.89
the,91.89,92.25
devil,92.25,92.81
"shaking,",92.81,93.51
somebody,94.01,94.87
celebrate,94.87,96.25
I,96.99,97.25
see,97.25,97.67
L.M.T.,97.67,98.95
Gray,99.29,99.47
Wipe,106.73,107.6
away,111.43,111.91
those,111.91,112.43
tears,112.43,112.97
"child,",112.97,113.47
there's,113.99,114.35
no,114.35,114.59
need,114.59,115.01
to,115.01,115.27
cry,115.27,115.59
Stand,116.64,117.14
up,117.14,117.6
on,117.6,117.94
your,117.94,118.22
feet,118.22,118.72
"now,",118.72,119.24
lift,119.68,120.0
your,120.0,120.38
head,120.38,120.84
up,120.84,121.26
high,121.26,121.7
Now,122.52,122.66
wait,122.66,122.96
till,122.96,123.24
tomorrow,123.24,123.78
to,123.78,124.14
lay,124.14,124.4
down,124.4,124.6
your,124.6,124.8
sorrow,124.8,125.12
Freedom,125.36,125.86
is,125.86,126.26
here,126.26,126.6
today,126.6,126.92
Wipe,128.32,128.82
away,128.82,129.32
those,129.32,129.8
tears,129.8,130.32
"child,",130.32,130.88
and,131.64,131.74
put,131.74,131.96
down,131.96,132.36
your,132.36,132.68
shame,132.68,133.18
"Oh,",133.52,134.14
I,134.46,135.16
see,135.16,136.06
L.M.T.,136.06,137.84
Gray,138.26,138.66
I,140.43,140.77
hear,140.77,141.13
the,141.13,141.39
heavens,141.39,142.07
"waking,",142.07,142.63
angels,143.25,143.85
in,143.85,144.35
jubilation,144.35,145.27
Bad,145.73,146.49
storms,146.49,147.69
"beckoning,",147.69,149.11
the,152.11,152.33
darkness,152.33,153.51
breaking,153.51,154.13
I,154.87,155.15
bet,155.15,155.49
the,155.49,155.89
devil,155.89,156.45
"shaking,",156.45,157.11
somebody,157.75,158.43
celebrate,158.43,159.63
I,160.61,161.13
see,161.13,161.65
L.M.T.,161.65,162.49
Gray,162.71,162.8
Wipe,203.6,204.01
away,204.01,204.53
those,204.53,204.97
tears,204.97,205.51
"child,",205.51,206.09
go,206.49,206.81
and,206.81,207.21
tell,207.21,207.53
the,207.53,207.83
news,207.83,208.25
What,209.1,209.34
started,209.34,209.82
in,209.82,210.48
the,210.48,210.86
garden,210.86,211.6
was,211.6,212.36
finished,212.36,212.78
in,212.78,213.44
the,213.44,213.62
tomb,213.62,213.96
It's,215.1,215.58
all,215.58,215.72
"reversed,",215.72,216.2
the,216.62,216.72
apple,216.72,217.08
occurs,217.08,217.7
three,217.7,218.26
days,218.26,218.64
in,218.64,219.14
the,219.14,219.38
ground,219.38,219.92
Christ,220.9,221.28
our,221.28,221.76
Lord,221.76,222.14
is,222.14,222.48
"risen,",222.48,223.2
death,223.76,224.16
couldn't,224.16,224.88
hold,224.88,225.16
him,225.16,225.7
down,225.7,226.3
